{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
{'message_type': 'bot', 'bot_id': 9643143, 'email_token': '613551ae-870a-424e-b682-4a0c0220f017', 'delay_seconds': 0}
